,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91772,2022-2023,EPL,Tottenham,Bryan,es ESP,"MF,FW",22.0,2.0,148.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,15.0,0.0,0.61,0.61,0.0,0.61,0.1,0.1,0.2,0.3,0.06,0.11,0.17,0.06,0.17
91773,2022-2023,EPL,Tottenham,Japhet Tanganga,eng ENG,DF,23.0,2.0,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91774,2022-2023,EPL,Tottenham,Pape Matar Sarr,sn SEN,MF,20.0,1.0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.02,0.03,0.02,0.03
91775,2022-2023,EPL,Tottenham,Lucas Moura,br BRA,"MF,DF",30.0,0.0,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.07,0.2,0.27,0.07,0.27
91776,2022-2023,EPL,Tottenham,Arnaut Danjuma,nl NED,FW,26.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29
91777,2022-2023,EPL,Tottenham,Djed Spence,eng ENG,"FW,DF",22.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.83,0.0,0.83,0.83,0.83
91778,2022-2023,EPL,Tottenham,Harvey White,eng ENG,MF,21.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91783,2022-2023,EPL,Newcastle Utd,Kieran Trippier,eng ENG,DF,32.0,25.0,2197.0,24.4,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,21.0,146.0,103.0,0.04,0.2,0.25,0.04,0.25,0.5,0.5,7.4,8.0,0.02,0.32,0.34,0.02,0.34
91784,2022-2023,EPL,Newcastle Utd,Nick Pope,eng ENG,GK,30.0,25.0,2181.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91785,2022-2023,EPL,Newcastle Utd,Dan Burn,eng ENG,DF,30.0,24.0,2120.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,74.0,27.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,1.7,0.05,0.03,0.08,0.05,0.08
