Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
2017-2018,EPL,Arsenal,Jack Wilshere,eng ENG,MF,25.0,13.3,49.0,3.7,35.0,0.0,5.0,1.0,7.0,1.0,5.0,0.38,4.0,0.0,1.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Pierre-Emerick Aubameyang,ga GAB,FW,28.0,11.7,30.0,2.55,21.0,0.0,4.0,4.0,1.0,0.0,8.0,0.68,5.0,0.0,1.0,1.0,1.0,0.0,Matches
2017-2018,EPL,Arsenal,Mohamed Elneny,eg EGY,MF,25.0,9.6,25.0,2.6,22.0,0.0,0.0,2.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Calum Chambers,eng ENG,DF,22.0,9.6,9.0,0.94,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Rob Holding,eng ENG,DF,21.0,9.1,5.0,0.55,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Henrikh Mkhitaryan,am ARM,"FW,MF",28.0,8.8,29.0,3.29,22.0,1.0,0.0,4.0,2.0,0.0,4.0,0.45,4.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Ainsley Maitland-Niles,eng ENG,"DF,MF",19.0,10.2,18.0,1.77,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,David Ospina,co COL,GK,28.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Per Mertesacker,de GER,DF,32.0,4.1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Alex Oxlade-Chamberlain,eng ENG,DF,23.0,2.7,13.0,4.85,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Konstantinos Mavropanos,gr GRE,DF,19.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
