,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1244,Emirhan İlkhan,tr TUR,MF,Sampdoria,it Serie A,18,2004,1.3,0,1,0,0.0,0.8,0.0,0.0,,27.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0
1245,Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,32,1990,12.0,1,11,3,27.3,0.92,0.25,0.09,0.33,20.5,0.0,0,0,0.8,0.8,0.07,0.2,0.2
1246,Ciro Immobile,it ITA,FW,Lazio,it Serie A,32,1990,24.7,12,72,30,41.7,2.92,1.22,0.11,0.27,15.0,0.0,4,5,14.2,10.3,0.14,-2.2,-2.3
1247,Danny Ings,eng ENG,FW,West Ham,eng Premier League,30,1992,8.6,2,15,4,26.7,1.74,0.46,0.13,0.5,11.2,0.0,0,0,3.0,3.0,0.2,-1.0,-1.0
1248,Danny Ings,eng ENG,FW,Aston Villa,eng Premier League,30,1992,9.2,6,25,12,48.0,2.73,1.31,0.16,0.33,15.5,0.0,2,2,5.3,3.8,0.15,0.7,0.2
1249,Marcus Ingvartsen,dk DEN,"FW,MF",Mainz 05,de Bundesliga,26,1996,14.6,10,32,13,40.6,2.19,0.89,0.19,0.46,15.5,1.0,4,4,8.4,5.2,0.16,1.6,0.8
1250,Bonke Innocent,ng NGA,MF,Lorient,fr Ligue 1,26,1996,13.1,0,4,0,0.0,0.3,0.0,0.0,,26.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
1251,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,22,1999,16.9,10,49,23,46.9,2.9,1.36,0.16,0.35,15.0,0.0,2,2,8.2,6.7,0.14,1.8,1.3
1252,Alexander Isak,se SWE,FW,Real Sociedad,es La Liga,22,1999,1.7,1,3,1,33.3,1.78,0.59,0.33,1.0,12.0,0.0,0,0,0.2,0.2,0.07,0.8,0.8
1253,Isco,es ESP,"MF,FW",Sevilla,es La Liga,30,1992,8.9,0,4,1,25.0,0.45,0.11,0.0,0.0,15.6,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4
1254,Ismaily,br BRA,DF,Lille,fr Ligue 1,32,1990,19.8,2,13,6,46.2,0.66,0.3,0.15,0.33,17.4,0.0,0,0,1.2,1.2,0.09,0.8,0.8
1255,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,25,1996,23.3,0,9,2,22.2,0.39,0.09,0.0,0.0,12.0,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7
1256,Ko Itakura,jp JPN,DF,M'Gladbach,de Bundesliga,25,1997,22.0,0,11,4,36.4,0.5,0.18,0.0,0.0,14.8,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
1257,Hiroki Ito,jp JPN,DF,Stuttgart,de Bundesliga,23,1999,28.5,1,21,7,33.3,0.74,0.25,0.05,0.14,32.9,2.0,0,0,0.8,0.8,0.04,0.2,0.2
1258,Junya Ito,jp JPN,FW,Reims,fr Ligue 1,29,1993,32.4,6,42,17,40.5,1.3,0.52,0.14,0.35,15.3,0.0,0,0,5.7,5.7,0.14,0.3,0.3
1259,Diego Iturralde,es ESP,DF,Sevilla,es La Liga,19,2003,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1260,Andreas Ivan,ro ROU,MF,Schalke 04,de Bundesliga,27,1995,0.5,0,1,0,0.0,1.96,0.0,0.0,,26.5,1.0,0,0,0.0,0.0,0.04,0.0,0.0
1261,Mihailo Ivanović,rs SRB,FW,Sampdoria,it Serie A,17,2004,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1262,Daniel Iversen,dk DEN,GK,Leicester City,eng Premier League,25,1997,12.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1263,Alex Iwobi,ng NGA,"MF,FW",Everton,eng Premier League,26,1996,37.5,2,42,15,35.7,1.12,0.4,0.05,0.13,21.0,0.0,0,0,2.5,2.5,0.06,-0.5,-0.5
1264,Armando Izzo,it ITA,DF,Monza,it Serie A,30,1992,27.4,1,16,4,25.0,0.58,0.15,0.06,0.25,10.4,0.0,0,0,2.1,2.1,0.13,-1.1,-1.1
1265,Nicolas Jackson,sn SEN,FW,Villarreal,es La Liga,21,2001,17.8,12,41,23,56.1,2.31,1.3,0.29,0.52,13.4,0.0,0,0,8.0,8.0,0.2,4.0,4.0
1266,Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,29,1992,21.0,7,35,17,48.6,1.66,0.81,0.2,0.41,14.7,0.0,0,0,4.3,4.3,0.12,2.7,2.7
1267,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,24,1998,13.3,1,2,2,100.0,0.15,0.15,0.5,0.5,11.3,0.0,0,0,0.1,0.1,0.07,0.9,0.9
1268,Mato Jajalo,ba BIH,MF,Udinese,it Serie A,34,1988,0.7,0,2,0,0.0,2.86,0.0,0.0,,26.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
1269,Kristijan Jakić,hr CRO,"DF,MF",Eint Frankfurt,de Bundesliga,25,1997,16.2,1,8,4,50.0,0.49,0.25,0.13,0.25,17.5,0.0,0,0,0.7,0.7,0.09,0.3,0.3
1270,Jan Jakob Olschowsky,de GER,GK,M'Gladbach,de Bundesliga,20,2001,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1271,Ismail Jakobs,sn SEN,"DF,FW",Monaco,fr Ligue 1,22,1999,12.4,0,14,6,42.9,1.13,0.48,0.0,0.0,15.2,1.0,0,0,1.0,1.0,0.07,-1.0,-1.0
1272,Marin Jakoliš,hr CRO,FW,Angers,fr Ligue 1,25,1996,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,12.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
1273,Daniel James,wls WAL,FW,Leeds United,eng Premier League,24,1997,2.2,0,3,1,33.3,1.36,0.45,0.0,0.0,17.6,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
1274,Daniel James,wls WAL,FW,Fulham,eng Premier League,24,1997,6.9,2,14,3,21.4,2.03,0.43,0.14,0.67,13.0,0.0,0,0,1.7,1.7,0.12,0.3,0.3
1275,Reece James,eng ENG,"DF,MF",Chelsea,eng Premier League,22,1999,13.8,1,16,4,25.0,1.16,0.29,0.06,0.25,22.4,2.0,0,0,1.0,1.0,0.06,0.0,0.0
1276,Vitaly Janelt,de GER,"MF,DF",Brentford,eng Premier League,24,1998,24.5,3,14,5,35.7,0.57,0.2,0.21,0.6,15.8,0.0,0,0,2.4,2.4,0.17,0.6,0.6
1277,Saidy Janko,gm GAM,DF,Bochum,de Bundesliga,26,1995,12.6,0,1,0,0.0,0.08,0.0,0.0,,21.9,0.0,0,0,0.0,0.0,0.05,0.0,0.0
1278,Pontus Jansson,se SWE,DF,Brentford,eng Premier League,31,1991,8.0,1,4,2,50.0,0.5,0.25,0.25,0.5,9.9,0.0,0,0,0.3,0.3,0.08,0.7,0.7
1279,Tony Jantschke,de GER,"DF,MF",M'Gladbach,de Bundesliga,32,1990,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1280,Adnan Januzaj,be BEL,FW,Sevilla,es La Liga,27,1995,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1281,Luis Javier Suárez,co COL,FW,Almería,es La Liga,24,1997,16.6,4,41,13,31.7,2.48,0.79,0.1,0.31,15.9,0.0,0,0,4.4,4.4,0.11,-0.4,-0.4
1282,Luis Javier Suárez,co COL,FW,Marseille,fr Ligue 1,24,1997,3.3,3,16,7,43.8,4.91,2.15,0.19,0.43,12.6,0.0,0,0,2.4,2.4,0.15,0.6,0.6
1283,Dany Jean,ht HAI,"DF,MF",Strasbourg,fr Ligue 1,19,2002,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1284,Julian Jeanvier,gn GUI,DF,Auxerre,fr Ligue 1,30,1992,19.6,1,8,4,50.0,0.41,0.2,0.13,0.25,8.7,0.0,0,0,1.2,1.2,0.15,-0.2,-0.2
1285,Jefferson,br BRA,FW,Lyon,fr Ligue 1,22,1999,5.0,1,10,5,50.0,2.02,1.01,0.1,0.2,15.7,0.0,0,0,1.1,1.1,0.11,-0.1,-0.1
1286,Fredrik Jensen,fi FIN,"FW,MF",Augsburg,de Bundesliga,24,1997,10.3,2,11,3,27.3,1.07,0.29,0.18,0.67,16.6,0.0,0,0,1.8,1.8,0.16,0.2,0.2
1287,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,26,1996,31.1,5,23,7,30.4,0.74,0.22,0.22,0.71,22.0,4.0,0,0,2.2,2.2,0.09,2.8,2.8
1288,Moritz Jenz,de GER,DF,Schalke 04,de Bundesliga,23,1999,10.5,0,10,3,30.0,0.95,0.29,0.0,0.0,9.7,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0
1289,Jesé,es ESP,FW,Sampdoria,it Serie A,29,1993,2.3,1,3,2,66.7,1.29,0.86,0.33,0.5,20.4,0.0,0,0,0.3,0.3,0.1,0.7,0.7
1290,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,25,1997,22.9,11,76,31,40.8,3.31,1.35,0.13,0.32,10.6,0.0,1,1,14.0,13.2,0.18,-3.0,-3.2
1291,Juan Jesus,br BRA,DF,Napoli,it Serie A,31,1991,10.4,1,5,1,20.0,0.48,0.1,0.2,1.0,17.3,0.0,0,0,0.2,0.2,0.04,0.8,0.8
1292,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,31,1991,9.4,0,20,9,45.0,2.13,0.96,0.0,0.0,14.5,0.0,0,0,2.6,2.6,0.13,-2.6,-2.6
1293,Joaquín,es ESP,"MF,FW",Betis,es La Liga,41,1981,5.5,0,8,3,37.5,1.45,0.54,0.0,0.0,15.0,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7
1294,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,25,1996,29.6,6,51,19,37.3,1.72,0.64,0.12,0.32,14.6,0.0,0,0,7.1,7.1,0.14,-1.1,-1.1
1295,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,21,2000,2.5,0,2,0,0.0,0.81,0.0,0.0,,32.6,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1
1296,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,22,2000,9.6,0,2,1,50.0,0.21,0.1,0.0,0.0,21.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
1297,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,eng Premier League,21,2001,32.6,8,52,24,46.2,1.6,0.74,0.13,0.29,16.6,0.0,1,3,8.6,6.2,0.12,-0.6,0.8
1298,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,29,1993,9.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1299,Paul Joly,fr FRA,DF,Auxerre,fr Ligue 1,22,2000,9.6,0,7,0,0.0,0.73,0.0,0.0,,23.5,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
1300,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,21,2001,11.5,3,15,5,33.3,1.3,0.43,0.2,0.6,17.9,0.0,0,0,1.2,1.2,0.08,1.8,1.8
1301,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,25,1997,28.2,2,18,10,55.6,0.64,0.36,0.11,0.2,17.8,0.0,0,0,2.4,2.4,0.13,-0.4,-0.4
1302,Joan Jordán,es ESP,MF,Sevilla,es La Liga,28,1994,17.7,0,13,3,23.1,0.73,0.17,0.0,0.0,21.4,3.0,0,0,0.9,0.9,0.07,-0.9,-0.9
1303,Jorginho,it ITA,MF,Arsenal,eng Premier League,30,1991,9.5,0,6,0,0.0,0.63,0.0,0.0,,22.3,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
1304,Jorginho,it ITA,MF,Chelsea,eng Premier League,30,1991,14.2,2,3,1,33.3,0.21,0.07,0.0,0.0,34.1,0.0,2,2,1.7,0.1,0.04,0.3,-0.1
1305,Josan,es ESP,"DF,MF",Elche,es La Liga,32,1989,12.0,1,6,3,50.0,0.5,0.25,0.17,0.33,14.3,0.0,0,0,0.4,0.4,0.07,0.6,0.6
1306,Willian José,br BRA,FW,Betis,es La Liga,30,1991,8.1,2,20,6,30.0,2.46,0.74,0.05,0.17,18.7,2.0,1,1,2.9,2.2,0.11,-0.9,-1.2
1307,Joselu,es ESP,FW,Espanyol,es La Liga,32,1990,33.2,16,87,33,37.9,2.62,0.99,0.13,0.33,16.1,2.0,5,5,14.5,10.5,0.12,1.5,0.5
1308,Mateo Joseph,eng ENG,"FW,MF",Leeds United,eng Premier League,18,2003,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,15.4,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1
1309,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,25,1996,12.6,7,35,11,31.4,2.79,0.88,0.2,0.64,11.7,0.0,0,0,6.5,6.5,0.19,0.5,0.5
1310,Stevan Jovetić,me MNE,"FW,MF",Hertha BSC,de Bundesliga,32,1989,9.9,4,27,6,22.2,2.72,0.61,0.15,0.67,18.4,1.0,0,0,2.7,2.7,0.1,1.3,1.3
1311,Luka Jović,rs SRB,"FW,MF",Fiorentina,it Serie A,24,1997,17.0,6,56,19,33.9,3.29,1.11,0.11,0.32,13.3,0.0,0,1,7.9,7.1,0.13,-1.9,-1.1
1312,Juanmi,es ESP,FW,Betis,es La Liga,29,1993,10.3,4,18,8,44.4,1.75,0.78,0.22,0.5,12.8,0.0,0,0,3.7,3.7,0.2,0.3,0.3
1313,Juanpe,es ESP,DF,Girona,es La Liga,31,1991,15.8,1,5,1,20.0,0.32,0.06,0.2,1.0,9.8,0.0,0,0,0.5,0.5,0.09,0.5,0.5
1314,Jubal,br BRA,DF,Auxerre,fr Ligue 1,28,1993,35.7,3,18,5,27.8,0.5,0.14,0.11,0.4,11.6,0.0,1,1,3.1,2.3,0.13,-0.1,-0.3
1315,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,29,1993,29.9,0,17,2,11.8,0.57,0.07,0.0,0.0,8.6,0.0,0,0,2.0,2.0,0.12,-2.0,-2.0
1316,Anthony Jung,de GER,"DF,FW",Werder Bremen,de Bundesliga,30,1991,29.1,2,17,6,35.3,0.58,0.21,0.12,0.33,17.0,0.0,0,0,1.3,1.3,0.08,0.7,0.7
1317,Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,fr Ligue 1,16,2006,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1318,Lago Junior,ci CIV,"FW,MF",Mallorca,es La Liga,31,1990,0.6,0,2,1,50.0,3.46,1.73,0.0,0.0,17.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0
1319,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,eng Premier League,22,2000,4.7,0,6,0,0.0,1.26,0.0,0.0,,17.1,1.0,0,0,0.9,0.9,0.15,-0.9,-0.9
1320,Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,it Serie A,22,2000,6.6,0,8,4,50.0,1.22,0.61,0.0,0.0,20.1,2.0,0,0,1.0,1.0,0.12,-1.0,-1.0
1321,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,22,2000,31.4,10,77,36,46.8,2.45,1.15,0.13,0.28,16.2,0.0,0,0,10.5,10.5,0.14,-0.5,-0.5
1322,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,26,1995,10.4,2,6,1,16.7,0.58,0.1,0.17,1.0,29.6,2.0,1,1,1.6,0.8,0.14,0.4,0.2
1323,James Justin,eng ENG,DF,Leicester City,eng Premier League,24,1998,13.9,0,5,0,0.0,0.36,0.0,0.0,,23.4,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
1324,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,20,2002,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1325,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,32,1990,12.3,0,5,1,20.0,0.41,0.08,0.0,0.0,7.8,0.0,0,0,0.9,0.9,0.18,-0.9,-0.9
1326,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,22,2000,26.5,2,24,6,25.0,0.9,0.23,0.08,0.33,13.8,0.0,0,0,1.3,1.3,0.05,0.7,0.7
1327,Issa Kaboré,bf BFA,DF,Marseille,fr Ligue 1,21,2001,11.4,1,8,3,37.5,0.7,0.26,0.13,0.33,16.2,0.0,0,0,0.9,0.9,0.11,0.1,0.1
1328,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,28,1994,0.9,0,1,1,100.0,1.15,1.15,0.0,0.0,19.3,0.0,0,0,0.1,0.1,0.09,-0.1,-0.1
1329,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,30,1992,18.5,1,8,1,12.5,0.43,0.05,0.13,1.0,10.5,0.0,0,0,1.3,1.3,0.17,-0.3,-0.3
1330,Tino Kadewere,zw ZIM,"FW,MF",Mallorca,es La Liga,26,1996,6.0,1,19,6,31.6,3.15,1.0,0.05,0.17,18.7,0.0,0,0,1.6,1.6,0.08,-0.6,-0.6
1331,Kaiky,br BRA,DF,Almería,es La Liga,18,2004,6.5,0,1,0,0.0,0.15,0.0,0.0,,11.7,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1
1332,Florian Kainz,at AUT,"MF,FW",Köln,de Bundesliga,29,1992,26.0,6,51,19,37.3,1.96,0.73,0.06,0.16,22.2,6.0,3,3,6.0,3.6,0.07,0.0,-0.6
1333,Gaël Kakuta,cd COD,FW,Lens,fr Ligue 1,31,1991,0.2,0,1,0,0.0,4.09,0.0,0.0,,29.8,0.0,0,0,0.0,0.0,0.05,0.0,0.0
1334,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,25,1997,0.5,0,1,0,0.0,2.0,0.0,0.0,,4.4,0.0,0,0,0.3,0.3,0.27,-0.3,-0.3
1335,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,25,1997,2.6,0,5,1,20.0,1.93,0.39,0.0,0.0,10.8,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5
1336,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,20,2002,20.5,7,43,21,48.8,2.09,1.02,0.16,0.33,14.0,0.0,0,0,7.5,7.5,0.18,-0.5,-0.5
1337,Yayah Kallon,sl SLE,"MF,FW",Hellas Verona,it Serie A,21,2001,9.6,1,20,6,30.0,2.09,0.63,0.05,0.17,19.4,0.0,0,0,1.7,1.7,0.08,-0.7,-0.7
1338,Gedeon Kalulu,cd COD,DF,Lorient,fr Ligue 1,24,1997,27.1,0,10,2,20.0,0.37,0.07,0.0,0.0,20.9,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6
1339,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,22,2000,28.3,1,11,2,18.2,0.39,0.07,0.09,0.5,10.0,0.0,0,0,1.5,1.5,0.14,-0.5,-0.5
1340,Justin-Noël Kalumba,fr FRA,DF,Angers,fr Ligue 1,17,2004,6.1,0,2,0,0.0,0.33,0.0,0.0,,24.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
1341,Daichi Kamada,jp JPN,MF,Eint Frankfurt,de Bundesliga,25,1996,25.2,9,41,11,26.8,1.63,0.44,0.15,0.55,16.6,4.0,3,3,9.9,7.5,0.18,-0.9,-1.5
1342,Waren Kamanzi,no NOR,DF,Toulouse,fr Ligue 1,21,2000,7.4,0,2,1,50.0,0.27,0.14,0.0,0.0,18.1,0.0,0,0,0.3,0.3,0.13,-0.3,-0.3
1343,Bingourou Kamara,sn SEN,GK,Montpellier,fr Ligue 1,25,1996,4.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1344,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,22,1999,19.7,0,4,1,25.0,0.2,0.05,0.0,0.0,29.7,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
1345,Jakub Kamiński,pl POL,"FW,DF",Wolfsburg,de Bundesliga,20,2002,22.9,4,39,14,35.9,1.71,0.61,0.1,0.29,15.9,0.0,0,0,5.0,4.8,0.12,-1.0,-0.8
1346,Marcin Kamiński,pl POL,DF,Schalke 04,de Bundesliga,30,1992,7.0,2,4,2,50.0,0.57,0.28,0.5,1.0,16.4,2.0,0,0,0.4,0.4,0.1,1.6,1.6
1347,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,31,1990,15.2,2,7,2,28.6,0.46,0.13,0.29,1.0,19.4,0.0,0,0,1.1,1.1,0.16,0.9,0.9
1348,Nordine Kandil,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,20,2001,1.1,0,3,0,0.0,2.67,0.0,0.0,,19.3,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
1349,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,29,1993,37.8,30,124,54,43.5,3.28,1.43,0.2,0.46,16.0,3.0,5,6,21.5,16.7,0.13,8.5,8.3
1350,Wilfried Kanga,ci CIV,FW,Hertha BSC,de Bundesliga,24,1998,15.7,2,25,9,36.0,1.59,0.57,0.08,0.22,11.7,0.0,0,0,3.3,3.3,0.13,-1.3,-1.3
1351,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,31,1991,5.8,0,8,1,12.5,1.39,0.17,0.0,0.0,20.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
1352,Kenan Karaman,tr TUR,FW,Schalke 04,de Bundesliga,28,1994,10.8,1,22,8,36.4,2.03,0.74,0.05,0.13,13.8,0.0,0,0,2.5,2.5,0.11,-1.5,-1.5
1353,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,24,1998,8.0,4,20,12,60.0,2.51,1.51,0.2,0.33,15.5,0.0,0,0,3.3,3.3,0.16,0.7,0.7
1354,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,25,1996,21.8,0,6,0,0.0,0.28,0.0,0.0,,20.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
1355,Ayman Kari,fr FRA,"MF,DF",Lorient,fr Ligue 1,17,2004,1.1,0,4,0,0.0,3.75,0.0,0.0,,18.6,0.0,0,0,0.5,0.5,0.14,-0.5,-0.5
1356,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,19,2002,1.0,0,5,1,20.0,4.84,0.97,0.0,0.0,20.1,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
1357,Rick Karsdorp,nl NED,DF,Roma,it Serie A,27,1995,7.9,0,2,0,0.0,0.25,0.0,0.0,,19.4,0.0,0,0,0.3,0.3,0.14,-0.3,-0.3
1358,Denso Kasius,nl NED,DF,Bologna,it Serie A,19,2002,3.8,0,4,0,0.0,1.05,0.0,0.0,,23.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
1359,Thomas Kastanaras,gr GRE,"FW,DF",Stuttgart,de Bundesliga,19,2003,0.8,0,2,1,50.0,2.5,1.25,0.0,0.0,13.7,0.0,0,0,0.3,0.3,0.13,-0.3,-0.3
1360,Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,it Serie A,24,1998,14.3,2,30,9,30.0,2.1,0.63,0.07,0.22,22.2,0.0,0,0,1.9,1.9,0.06,0.1,0.1
1361,Silas Katompa,cd COD,"FW,MF",Stuttgart,de Bundesliga,23,1998,22.1,5,42,16,38.1,1.9,0.72,0.1,0.25,16.1,0.0,1,1,6.5,5.7,0.14,-1.5,-1.7
1362,Moise Kean,it ITA,FW,Juventus,it Serie A,22,2000,11.1,6,38,14,36.8,3.44,1.27,0.16,0.43,14.4,0.0,0,0,6.3,6.3,0.16,-0.3,-0.3
1363,Michael Keane,eng ENG,DF,Everton,eng Premier League,29,1993,10.9,1,14,4,28.6,1.28,0.37,0.07,0.25,12.9,0.0,0,0,1.3,1.3,0.1,-0.3,-0.3
1364,Neeskens Kebano,cd COD,FW,Fulham,eng Premier League,30,1992,8.5,0,9,2,22.2,1.06,0.24,0.0,0.0,15.2,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
1365,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,18,2004,4.0,0,1,0,0.0,0.25,0.0,0.0,,18.2,0.0,0,0,0.0,0.0,0.04,0.0,0.0
1366,Thilo Kehrer,de GER,DF,West Ham,eng Premier League,25,1996,24.8,0,8,1,12.5,0.32,0.04,0.0,0.0,18.4,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5
1367,Check Keita,fr FRA,DF,Reims,fr Ligue 1,19,2003,7.6,0,3,1,33.3,0.4,0.13,0.0,0.0,19.4,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
1368,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,27,1995,3.3,0,10,0,0.0,3.07,0.0,0.0,,20.6,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
1369,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,22,2000,7.6,0,4,3,75.0,0.53,0.4,0.0,0.0,16.8,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
1370,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,23,1998,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1371,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,23,1998,22.7,0,3,0,0.0,0.13,0.0,0.0,,8.9,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
1372,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,27,1995,30.1,1,16,5,31.3,0.53,0.17,0.06,0.2,11.5,0.0,0,0,1.5,1.5,0.1,-0.5,-0.5
1373,Kenedy,br BRA,"FW,DF",Valladolid,es La Liga,26,1996,3.1,0,6,3,50.0,1.96,0.98,0.0,0.0,21.2,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5
1374,Jonjoe Kenny,eng ENG,DF,Hertha BSC,de Bundesliga,25,1997,24.9,0,6,1,16.7,0.24,0.04,0.0,0.0,24.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
1375,Franck Kessié,ci CIV,MF,Barcelona,es La Liga,25,1996,11.0,1,15,3,20.0,1.36,0.27,0.07,0.33,15.9,0.0,0,0,1.8,1.8,0.12,-0.8,-0.8
1376,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,fr Ligue 1,27,1995,22.5,7,47,22,46.8,2.09,0.98,0.15,0.32,21.5,6.0,0,0,5.1,5.1,0.11,1.9,1.9
1377,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,fr Ligue 1,31,1991,18.2,4,38,16,42.1,2.09,0.88,0.11,0.25,22.2,0.0,0,0,4.1,4.1,0.11,-0.1,-0.1
1378,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,28,1994,32.0,2,24,3,12.5,0.75,0.09,0.08,0.67,22.1,0.0,0,0,1.7,1.7,0.07,0.3,0.3
1379,Anthony Khelifa,fr FRA,DF,Ajaccio,fr Ligue 1,16,2005,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
1380,Kike,es ESP,FW,Osasuna,es La Liga,32,1989,11.3,2,41,11,26.8,3.61,0.97,0.02,0.09,16.4,0.0,1,1,4.4,3.6,0.09,-2.4,-2.6
